OBJECTID,STRKAFS,NAVN,FORKORTELSE,FRA_KM,TIL_KM,KM,BANEKLASSE,BEMAERKNING,BTRTYPE,CENTER_UTM_X,CENTER_UTM_Y,HVDSTRK,HVDSTRK_NAVN,HVDSTRK_FORK,DELSTRK_NAVN,DELSTRK_FORK,DELSTRK,BANENR,BANENR_NAVN,BANENR_FORK,KPMSTRK,RELEASE,RELEASEDATO,STRKAFS_PARENT,TIB,SOURCEOBJECTID,BTRTYPETEKST,BANEKLASSETEKST,CENTER_GPS_X,CENTER_GPS_Y,GLOBALID,Shape__Area,Shape__Length
368110,826013,Lyngby,Ly,13.199,14.476,13.89,9,,2,719700.02591058,6185857.7682134,82,København H - Hillerød,Kh-Hi,Hellerup - Hillerød,Hl-Hi,826000,82,(Svanemøllen) - Hillerød,Sam-Hi,82,,6/17/2026 8:54:23 AM,,820,1879,Station,S-bane,12.50253873,55.7683943,f2441303-b14e-417c-ab63-d7b681e3b795,51252.1782226563,2632.37770559467
368111,826016,Lyngby - Holte,Ly-Hot,14.476,18.142,,9,,1,,,82,København H - Hillerød,Kh-Hi,Hellerup - Hillerød,Hl-Hi,826000,82,(Svanemøllen) - Hillerød,Sam-Hi,82,,6/17/2026 8:54:23 AM,,820,2067,Fri Bane,S-bane,,,0c6fa1d4-6abc-4b9f-987e-d8197770c162,142345.946777344,7414.11182715612
368112,826019,Holte,Hot,18.142,19.817,18.96,9,,2,717355.35575881,6190124.79831644,82,København H - Hillerød,Kh-Hi,Hellerup - Hillerød,Hl-Hi,826000,82,(Svanemøllen) - Hillerød,Sam-Hi,82,,6/17/2026 8:54:23 AM,,820,1825,Station,S-bane,12.4686392,55.8077229,4e007301-3330-4c23-b355-e1a5041a55b9,70650.0610351563,3424.58293762674
368113,826020,Holte - Birkerød,Hot-Bi,19.817,23.076,,9,,1,,,82,København H - Hillerød,Kh-Hi,Hellerup - Hillerød,Hl-Hi,826000,82,(Svanemøllen) - Hillerød,Sam-Hi,82,,6/17/2026 8:54:23 AM,,820,2027,Fri Bane,S-bane,,,a63f7af0-1ee8-4805-ac33-4dafbb11ad8e,107126.962890625,6603.70922480844
368114,826023,Birkerød,Bi,23.076,24.748,23.823,9,,2,714358.80214132,6193623.06582881,82,København H - Hillerød,Kh-Hi,Hellerup - Hillerød,Hl-Hi,826000,82,(Svanemøllen) - Hillerød,Sam-Hi,82,,6/17/2026 8:54:23 AM,,820,1873,Station,S-bane,12.42367314,55.84043765,4f4bfb77-76eb-4bb3-8be0-5f33272c83b0,57192.57421875,3458.40810393022
368115,882011,Nørrebro,Nø,9.589,9.745,9.74,9,,4,722298.48742611,6178445.68360968,88,Vigerslev - Hellerup,Ig-Hl,Vigerslev - Lersøen,Ig-Ler,882000,87,Vigerslev - (Hellerup),Ig-Hl,88,,6/17/2026 8:54:23 AM,882008,880,2433,Trinbræt,S-bane,12.53785132,55.70073522,9c489fd5-0192-4f1a-8ccd-86a7c4ae8683,3951.85302734375,359.92118170545
368116,882013,Bispebjerg,Bit,10.334,10.439,10.387,9,,4,722486.21040598,6179050.03380513,88,Vigerslev - Hellerup,Ig-Hl,Vigerslev - Lersøen,Ig-Ler,882000,87,Vigerslev - (Hellerup),Ig-Hl,88,,6/17/2026 8:54:23 AM,883000,880,2395,Trinbræt,S-bane,12.5413232,55.70606914,42388aca-a6f2-4bc6-80a7-57baf3afbaf0,2100.54345703125,254.662730246551
368117,883000,Lersøen,Ler,10.14,11.945,11.3,9,,3,722613.21964092,6179225.12620352,88,Vigerslev - Hellerup,Ig-Hl,Lersøen,Ler,883000,87,Vigerslev - (Hellerup),Ig-Hl,88,,6/17/2026 8:54:23 AM,,"880,1007",34001,Teknisk Station,S-bane,12.54348275,55.70758115,c53c05d0-7d8e-4518-8f50-21b11a9503f8,175821.726074219,4966.37924945997
368118,884012,Lersøen - Hellerup,Ler-Hl,11.945,12.87,,9,,1,,,88,Vigerslev - Hellerup,Ig-Hl,Lersøen - Hellerup,Ler-Hl,884000,87,Vigerslev - (Hellerup),Ig-Hl,88,,6/17/2026 8:54:23 AM,,880,35338,Fri Bane,S-bane,,,09f4d6af-81a4-463d-9f93-68e37135ea99,35042.5419921875,1933.01246768546
368119,884013,Ryparken,Ryt,11.953,12.096,12,9,,4,723604.16682639,6180194.92930546,88,Vigerslev - Hellerup,Ig-Hl,Lersøen - Hellerup,Ler-Hl,884000,87,Vigerslev - (Hellerup),Ig-Hl,88,,6/17/2026 8:54:23 AM,884012,880,2453,Trinbræt,S-bane,12.56001401,55.71582269,acb822b4-9f1b-4d83-a5db-cd7e7a5c2036,5206.60791015625,360.750843778867
368120,615007,Havrebjerg,Heb,5.523,6.708,6.2,6,,2,645951.14270866,6147403.5240596,615,(Slagelse) - Gørlev,Sg-Gv,(Slagelse) - Gørlev,Sg-Gv,615000,,,,615,,6/17/2026 8:54:23 AM,,615,1736,Station,Privatbane,11.30778708,55.45101706,d5a83f45-c328-4d06-9712-9163102a8f20,22096.3427734375,2390.15311375648
368121,615008,Havrebjerg - Høng,Heb-Øn,6.708,12.347,,6,,1,,,615,(Slagelse) - Gørlev,Sg-Gv,(Slagelse) - Gørlev,Sg-Gv,615000,,,,615,,6/17/2026 8:54:23 AM,,615,1996,Fri Bane,Privatbane,,,970d4868-af75-4556-bd64-32891af18845,95899.45703125,11304.9056374235
368122,615013,Høng,Øn,12.347,13.236,12.8,6,,2,644357.22083973,6153594.43112119,615,(Slagelse) - Gørlev,Sg-Gv,(Slagelse) - Gørlev,Sg-Gv,615000,,,,615,,6/17/2026 8:54:23 AM,,"615,616",1737,Station,Privatbane,11.28582301,55.50707496,66cd264a-37cf-46fa-871c-2b9926d055d0,22720.6713867188,2158.79296167542
368123,615014,Høng - Gørlev,Øn-Gv,13.236,17.919,,6,Veteranbane,1,,,615,(Slagelse) - Gørlev,Sg-Gv,(Slagelse) - Gørlev,Sg-Gv,615000,,,,615,,6/17/2026 8:54:23 AM,,,1871,Fri Bane,Privatbane,,,32f6d634-a8f0-4feb-8e63-108e4c23c5c1,131252.635253906,9666.7041383852
368124,616002,Høng - Ruds Vedby,Øn-Ruv,0.5,6.83,,6,,1,,,616,(Høng) - (Tølløse) ,Øn-Tø,(Høng) - (Tølløse) ,Øn-Tø,616000,,,,616,,6/17/2026 8:54:23 AM,,616,1942,Fri Bane,Privatbane,,,6d3a347d-7bec-4a22-9eb2-4bcf17361821,176740.256347656,12728.7199274223
368125,616007,Ruds Vedby,Ruv,6.83,7.617,7.2,6,,2,649818.98934978,6157421.39028723,616,(Høng) - (Tølløse) ,Øn-Tø,(Høng) - (Tølløse) ,Øn-Tø,616000,,,,616,,6/17/2026 8:54:23 AM,,616,1738,Station,Privatbane,11.37429502,55.53978938,cb139d30-c75a-4a87-9841-253dc909c984,23301.2370605469,1618.51129239955
368126,664032,Viby Jylland - Aarhus H,Vij-Ar,31.9,35.501,,6,,1,,,664,Odder - (Aarhus H),Odd-Ar,Odder - (Aarhus H),Odd-Ar,664000,,,,664,,6/17/2026 8:54:23 AM,,37,29141,Fri Bane,Privatbane,,,71ff8599-1a37-47fa-b8cf-f7e2392751fc,18279.4572753906,4208.64655605275
368127,664033,Kongsvang,Kgv,,,33.4,6,,4,572971.80934094,6221831.7237057,664,Odder - (Aarhus H),Odd-Ar,Odder - (Aarhus H),Odd-Ar,664000,,,,664,,6/17/2026 8:54:23 AM,664032,37,2493,Trinbræt,Privatbane,10.17417972,56.13595172,affcee73-db90-4230-b5d7-a0def2cacc54,703.53515625,182.017589382774
368128,664111,Rude Havvej,Ruh,,,11.1,6,,4,572019.54808743,6204860.27623444,664,Odder - (Aarhus H),Odd-Ar,Odder - (Aarhus H),Odd-Ar,664000,,,,664,,6/17/2026 8:54:23 AM,664012,37,2502,Trinbræt,Privatbane,10.15429669,55.98364141,32598cad-c85d-4b0a-9004-3ecc901685f7,4513.53393554688,379.250991604669
368129,664205,Beder,Bed,,,20.5,6,,4,574612.44423403,6213011.765334,664,Odder - (Aarhus H),Odd-Ar,Odder - (Aarhus H),Odd-Ar,664000,,,,664,,6/17/2026 8:54:23 AM,664020,37,2500,Trinbræt,Privatbane,10.19810965,56.05646985,f17cc64e-30fd-47fe-9caa-a4cbba6b596e,2228.36401367188,214.901834723932
368130,664221,Vilhelmsborg,Vh,,,22.1,6,,4,573354.99273483,6213861.78413606,664,Odder - (Aarhus H),Odd-Ar,Odder - (Aarhus H),Odd-Ar,664000,,,,664,,6/17/2026 8:54:23 AM,664020,37,2499,Trinbræt,Privatbane,10.17815545,56.06429986,c8b9f239-9658-45c1-9885-f784a2d1c5a3,5647.89379882813,476.558043499182
368131,664237,Mølleparken,Mpk,,,23.8,6,,4,571858.2485,6214765.0105,664,Odder - (Aarhus H),Odd-Ar,Odder - (Aarhus H),Odd-Ar,664000,,,,664,,6/17/2026 8:54:23 AM,664024,37,2498,Trinbræt,Privatbane,10.15436425,56.07264063,5ee4695f-eb06-41b7-85bb-b4a95c592860,1725.53344726563,178.787451589945
368132,664261,Nørrevænget,Nrv,,,26.1,6,,4,571659.31775323,6216917.01429812,664,Odder - (Aarhus H),Odd-Ar,Odder - (Aarhus H),Odd-Ar,664000,,,,664,,6/17/2026 8:54:23 AM,664024,37,2497,Trinbræt,Privatbane,10.1517459,56.09200193,2374304b-1799-4628-9cea-4065c23e99df,6494.61328125,523.132544008124
368133,664291,Gunnar Clausensvej,Gct,,,29.1,6,,4,570018.44842908,6219075.6084301,664,Odder - (Aarhus H),Odd-Ar,Odder - (Aarhus H),Odd-Ar,664000,,,,664,,6/17/2026 8:54:23 AM,664028,37,2496,Trinbræt,Privatbane,10.12594464,56.11163584,057265da-eb9f-4784-9b23-a2ef49b9bd60,5640.33056640625,461.285270740926
368134,664297,Øllegårdsvej,Øgt,,,29.7,6,,4,570526.79334371,6219424.94065396,664,Odder - (Aarhus H),Odd-Ar,Odder - (Aarhus H),Odd-Ar,664000,,,,664,,6/17/2026 8:54:23 AM,664028,37,2495,Trinbræt,Privatbane,10.13420969,56.11469913,f93927a2-0ed4-4d8b-ae4f-85662dfb50fc,5256.71069335938,434.975462998324
